Species,Plot,Subplot,Core,Light_ISF,Light_Cat,Soil,Sterile,Conspecific,Myco,SoilMyco,AMF,EMF,Phenolics,Lignin,NSC,Time,Event
Acer saccharum,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.0,,-0.56,13.86,12.15,14.0,1.0
Quercus alba,1,C,2017,0.106,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,15.82,31.07,5.19,20.52,19.29,115.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,24.45,28.19,3.36,24.74,15.01,63.0,1.0
Acer saccharum,7,D,2016,0.08,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.23,,-0.71,14.29,12.36,14.0,1.0
Acer saccharum,14,A,2017,0.06,Low,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,21.15,,-0.58,10.85,11.2,14.0,1.0
Prunus serotina,1,C,2016,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,35.29,,0.3,10.8,13.79,24.5,1.0
Quercus alba,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,24.0,20.0,5.11,18.82,22.51,24.5,0.0
Quercus rubra,1,A,2017,0.108,Med,Sterile,Sterile,Sterilized,EMF,Sterile,4.0,0.0,3.43,25.22,14.81,24.5,0.0
Quercus rubra,1,A,2016,0.108,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,28.74,36.18,3.83,26.65,14.65,115.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.16,,-0.05,13.3,12.16,24.5,1.0
Quercus rubra,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,24.45,28.19,3.36,24.74,15.01,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,19.68,21.58,5.1,18.16,22.56,73.5,1.0
Quercus alba,1,C,2016,0.106,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,11.14,32.75,5.05,21.93,17.75,73.5,1.0
Quercus alba,1,A,2017,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,11.45,21.84,4.79,17.83,23.72,59.5,1.0
Quercus alba,1,A,2016,0.108,Med,Sterile,Sterile,Sterilized,EMF,Sterile,24.0,9.09,3.68,19.77,19.81,24.5,0.0
Quercus alba,1,A,2017,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,17.54,32.82,5.29,20.84,18.65,115.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Sterile,Sterile,Sterilized,EMF,Sterile,3.0,0.0,3.5,20.44,18.99,24.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,41.0,13.33,3.98,20.17,21.59,24.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,10.0,,-0.1,12.61,11.75,24.5,0.0
Acer saccharum,1,A,2017,0.108,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,22.98,,0.44,13.69,12.31,24.5,1.0
Acer saccharum,1,A,2017,0.108,Med,Sterile,Sterile,Sterilized,AMF,Sterile,8.55,,0.08,10.61,11.57,24.5,1.0
Acer saccharum,1,A,2016,0.108,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,12.86,,0.04,13.95,12.5,24.5,1.0
Quercus rubra,1,A,2017,0.108,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,20.45,26.44,3.89,24.19,16.19,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,9.0,26.92,4.77,17.0,25.17,24.5,0.0
Quercus alba,1,A,2016,0.108,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,10.68,26.72,5.04,21.43,18.21,73.5,1.0
Quercus alba,1,A,2016,0.108,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,18.04,25.57,5.09,18.75,23.07,73.5,1.0
Quercus alba,1,A,2017,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,14.0,38.46,5.47,21.72,18.17,24.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.16,,-0.05,13.3,12.16,59.5,1.0
Quercus alba,1,A,2016,0.108,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,5.0,16.22,3.77,25.48,12.91,24.5,0.0
Quercus rubra,1,D,2016,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,19.0,57.14,3.69,24.77,14.86,24.5,0.0
Quercus alba,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,20.19,26.04,5.07,18.97,22.48,115.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,19.32,21.6,3.81,20.97,18.09,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.15,21.66,4.7,17.55,24.42,115.5,0.0
Quercus alba,1,C,2017,0.106,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.15,21.66,4.7,17.55,24.42,115.5,0.0
Quercus alba,1,A,2017,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,18.0,0.0,3.56,25.81,10.7,24.5,0.0
Acer saccharum,1,A,2017,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,16.6,,-0.05,13.1,12.05,24.5,1.0
Acer saccharum,1,A,2016,0.108,Med,Sterile,Sterile,Sterilized,AMF,Sterile,8.55,,0.08,10.61,11.57,66.5,1.0
Quercus alba,1,A,2017,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,10.0,6.67,4.88,18.33,22.76,24.5,0.0
Quercus rubra,1,C,2017,0.106,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,24.0,57.14,3.71,26.64,14.23,24.5,0.0
Acer saccharum,1,A,2016,0.108,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,16.6,,-0.05,13.1,12.05,24.5,1.0
Prunus serotina,1,A,2016,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,37.91,,0.77,7.82,11.52,24.5,1.0
Quercus rubra,1,C,2016,0.106,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,25.0,8.0,4.13,25.28,15.87,24.5,0.0
Quercus alba,1,C,2017,0.106,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,14.77,27.2,4.16,18.81,24.33,115.5,0.0
Quercus alba,1,B,2017,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,9.0,24.39,3.91,21.62,17.61,24.5,0.0
Quercus alba,1,E,2017,0.098,Med,Sterile,Sterile,Sterilized,EMF,Sterile,2.0,10.81,3.72,18.39,23.94,24.5,0.0
Quercus alba,1,B,2016,0.1,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,9.0,31.03,5.21,23.12,17.33,24.5,0.0
Acer saccharum,1,D,2016,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.55,,-0.04,13.55,12.15,24.5,1.0
Acer saccharum,1,B,2016,0.1,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.8,,-0.09,13.74,12.22,24.5,1.0
Quercus alba,1,B,2017,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,11.0,40.0,5.24,20.56,19.48,24.5,0.0
Quercus alba,1,C,2017,0.106,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,15.82,31.07,5.19,20.52,19.29,70.0,1.0
Quercus rubra,1,D,2016,0.107,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,37.0,2.0,3.6,19.67,19.93,24.5,0.0
Quercus rubra,1,A,2017,0.108,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,23.71,25.98,3.8,23.21,16.91,63.0,1.0
Quercus rubra,1,B,2017,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,41.0,12.86,3.21,25.22,13.47,24.5,0.0
Quercus alba,1,D,2017,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,18.0,0.0,5.32,21.53,17.89,24.5,0.0
Quercus rubra,1,A,2017,0.108,Med,Sterile,Sterile,Sterilized,EMF,Sterile,9.71,6.71,3.55,24.69,15.17,115.5,0.0
Quercus rubra,1,B,2016,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,14.0,2.94,3.74,21.23,17.66,24.5,0.0
Quercus rubra,1,D,2016,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,4.0,1.0,3.48,19.52,19.42,24.5,0.0
Quercus alba,1,D,2017,0.107,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,5.0,0.0,4.63,25.57,14.27,24.5,0.0
Prunus serotina,1,B,2017,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,AMF,39.43,,0.72,10.15,13.36,24.5,1.0
Prunus serotina,1,B,2017,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,19.17,,0.34,9.62,12.04,24.5,1.0
Quercus alba,1,D,2017,0.107,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,7.0,7.32,5.29,23.0,16.99,24.5,0.0
Quercus alba,1,B,2016,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,7.0,34.21,4.06,22.12,17.81,24.5,0.0
Quercus rubra,1,B,2017,0.1,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,33.0,11.0,3.65,22.8,16.52,24.5,0.0
Quercus rubra,1,D,2017,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,10.0,53.33,3.11,28.17,13.23,24.5,0.0
Quercus rubra,1,B,2017,0.1,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,26.0,47.06,3.68,26.52,14.34,24.5,0.0
Quercus alba,1,D,2017,0.107,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,4.0,28.57,3.99,22.14,17.94,24.5,0.0
Quercus rubra,1,B,2017,0.1,Med,Sterile,Sterile,Sterilized,EMF,Sterile,4.0,0.0,3.39,24.93,14.81,24.5,0.0
Quercus rubra,1,B,2016,0.1,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,9.0,15.0,2.79,26.79,10.15,24.5,0.0
Prunus serotina,1,D,2017,0.107,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,30.83,,0.67,10.36,13.68,24.5,1.0
Quercus alba,2,A,2016,0.083,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,9.0,45.45,4.97,20.8,18.72,24.5,0.0
Quercus alba,1,C,2017,0.106,Med,Sterile,Sterile,Sterilized,EMF,Sterile,10.3,7.09,3.47,19.59,19.48,115.5,0.0
Acer saccharum,2,A,2016,0.083,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,19.63,,0.33,13.73,12.2,24.5,1.0
Prunus serotina,2,C,2017,0.097,Med,Sterile,Sterile,Sterilized,AMF,Sterile,9.0,,0.07,7.91,11.99,24.5,0.0
Quercus rubra,1,A,2017,0.108,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,17.7,30.28,3.7,19.54,19.67,115.5,0.0
Quercus rubra,2,C,2017,0.097,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,70.0,68.0,3.51,27.77,14.41,24.5,0.0
Prunus serotina,2,A,2017,0.083,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,24.39,,0.62,9.43,11.96,24.5,1.0
Quercus alba,2,A,2016,0.083,Med,Sterile,Sterile,Sterilized,EMF,Sterile,14.0,5.26,3.45,23.58,15.62,24.5,0.0
Prunus serotina,2,C,2017,0.097,Med,Sterile,Sterile,Sterilized,AMF,Sterile,8.3,,0.06,7.76,11.84,24.5,1.0
Quercus rubra,1,C,2017,0.106,Med,Sterile,Sterile,Sterilized,EMF,Sterile,9.66,6.29,3.57,24.36,15.72,59.5,1.0
Acer saccharum,2,A,2017,0.083,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,25.0,,0.2,12.86,11.72,24.5,0.0
Acer saccharum,2,C,2016,0.097,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,15.31,,-0.06,13.74,12.22,24.5,1.0
Prunus serotina,2,A,2017,0.083,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,24.39,,0.62,9.43,11.96,24.5,1.0
Prunus serotina,2,C,2017,0.097,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,33.29,,0.57,10.94,13.76,24.5,1.0
Acer saccharum,2,A,2016,0.083,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,13.0,,-0.26,10.53,10.83,24.5,0.0
Prunus serotina,2,A,2016,0.083,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,AMF,14.0,,0.58,2.23,8.68,24.5,0.0
Acer saccharum,2,A,2016,0.083,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,13.0,,-0.34,15.22,12.47,24.5,0.0
Acer saccharum,2,A,2016,0.083,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,12.0,,0.02,15.52,12.09,24.5,0.0
Quercus alba,2,C,2017,0.097,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,26.0,36.84,4.97,19.2,21.66,24.5,0.0
Quercus alba,1,E,2017,0.098,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,13.63,35.71,5.01,21.98,17.53,115.5,0.0
Quercus alba,2,B,2017,0.082,Med,Sterile,Sterile,Sterilized,EMF,Sterile,0.0,1.37,2.8,17.67,18.51,24.5,0.0
Acer saccharum,2,D,2017,0.1,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,13.21,,-0.04,13.89,12.52,24.5,1.0
Quercus alba,2,D,2017,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,23.0,0.0,4.15,19.05,23.24,24.5,0.0
Acer saccharum,2,D,2017,0.1,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,14.57,,0.22,13.76,12.17,24.5,1.0
Quercus alba,1,B,2017,0.1,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,11.18,41.63,5.24,21.72,17.86,115.5,0.0
Quercus alba,2,B,2016,0.082,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,17.0,12.0,4.8,23.26,16.43,24.5,0.0
Quercus rubra,1,D,2017,0.107,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,20.34,28.16,3.54,26.47,14.47,115.5,0.0
Acer saccharum,2,B,2017,0.082,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,13.0,,-0.09,13.88,12.32,24.5,0.0
Quercus rubra,2,B,2017,0.082,Med,Sterile,Sterile,Sterilized,EMF,Sterile,0.0,3.9,3.07,24.59,13.11,24.5,0.0
Quercus alba,2,B,2017,0.082,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,42.35,35.71,4.39,19.42,19.28,24.5,0.0
Quercus alba,2,D,2017,0.1,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,9.0,75.0,4.97,23.56,16.63,24.5,0.0
Quercus rubra,3,C,2017,0.103,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,30.44,39.07,3.8,26.44,14.81,24.5,1.0
Quercus alba,3,A,2017,0.08,Med,Sterile,Sterile,Sterilized,EMF,Sterile,0.0,0.0,3.07,20.78,17.11,24.5,0.0
Quercus alba,1,D,2017,0.107,Med,Sterile,Sterile,Sterilized,EMF,Sterile,11.59,11.88,3.73,21.08,17.84,94.5,1.0
Quercus alba,3,A,2016,0.08,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,1.0,0.0,5.27,24.67,15.59,24.5,0.0
Quercus alba,1,B,2016,0.1,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,23.5,29.23,5.01,18.78,22.58,115.5,0.0
Quercus alba,3,A,2016,0.08,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,17.0,13.89,4.91,19.63,20.24,24.5,0.0
Acer saccharum,3,C,2016,0.103,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,21.88,,0.3,10.18,10.38,24.5,0.0
Quercus alba,1,D,2017,0.107,Med,Sterile,Sterile,Sterilized,EMF,Sterile,11.59,11.88,3.73,21.08,17.84,115.5,0.0
Quercus rubra,1,D,2017,0.107,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,23.34,27.55,3.42,23.82,15.66,63.0,1.0
Quercus rubra,1,B,2017,0.1,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,20.4,43.74,3.66,26.29,14.71,115.5,0.0
Quercus alba,3,A,2016,0.08,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,15.0,5.41,3.91,18.41,21.14,24.5,0.0
Quercus rubra,1,B,2017,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,25.8,27.74,3.38,24.3,15.31,63.0,1.0
Quercus alba,3,A,2016,0.08,Med,Sterile,Sterile,Sterilized,EMF,Sterile,0.0,0.0,3.07,19.85,18.05,24.5,0.0
Acer saccharum,3,C,2016,0.103,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.82,,-0.1,13.59,12.2,24.5,1.0
Acer saccharum,3,C,2017,0.103,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,22.16,,-0.64,13.88,12.13,24.5,1.0
Quercus rubra,3,C,2017,0.103,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,36.0,22.22,3.79,25.0,15.42,24.5,0.0
Quercus rubra,3,A,2017,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,37.0,14.29,3.43,26.81,14.09,24.5,0.0
Quercus alba,3,C,2017,0.103,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,11.0,39.47,5.36,24.01,16.74,24.5,0.0
Prunus serotina,3,C,2016,0.103,Med,Sterile,Sterile,Sterilized,AMF,Sterile,9.0,,0.03,7.75,11.76,24.5,0.0
Quercus rubra,3,A,2016,0.08,Med,Sterile,Sterile,Sterilized,EMF,Sterile,0.0,0.0,3.38,22.52,16.39,24.5,0.0
Quercus rubra,3,A,2016,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,50.0,15.0,3.44,27.07,14.3,24.5,0.0
Quercus rubra,1,B,2017,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,25.8,27.74,3.38,24.3,15.31,63.0,1.0
Quercus alba,3,C,2017,0.103,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,15.0,36.17,4.93,25.25,15.55,24.5,0.0
Quercus rubra,3,A,2017,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.0,26.42,3.07,26.99,13.0,24.5,0.0
Quercus alba,3,A,2017,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,52.0,12.24,4.8,17.68,22.0,24.5,0.0
Quercus rubra,1,D,2017,0.107,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,27.66,37.81,3.8,26.54,14.73,115.5,0.0
Prunus serotina,3,A,2016,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,AMF,AMF,31.81,,0.71,9.35,11.66,24.5,1.0
Acer saccharum,3,A,2016,0.08,Med,Sterile,Sterile,Sterilized,AMF,Sterile,16.0,,-0.03,12.14,12.38,24.5,0.0
Quercus rubra,1,B,2017,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,25.8,27.74,3.38,24.3,15.31,63.0,1.0
Acer saccharum,3,A,2017,0.08,Med,Sterile,Sterile,Sterilized,AMF,Sterile,2.0,,0.11,12.46,13.41,24.5,0.0
Quercus rubra,3,A,2016,0.08,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,34.0,9.26,2.77,26.63,10.86,24.5,0.0
Acer saccharum,3,A,2016,0.08,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,14.69,,0.09,13.72,12.11,24.5,1.0
Acer saccharum,3,A,2017,0.08,Med,Sterile,Sterile,Sterilized,AMF,Sterile,2.0,,-0.03,10.32,12.06,24.5,0.0
Quercus alba,3,C,2017,0.103,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,33.0,28.57,4.82,25.1,15.28,24.5,0.0
Quercus alba,3,C,2017,0.103,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,10.0,5.88,4.61,25.57,15.17,24.5,0.0
Prunus serotina,3,A,2017,0.08,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,32.34,,0.37,8.48,11.26,24.5,1.0
Quercus alba,1,B,2017,0.1,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,15.35,29.41,4.15,18.88,23.37,115.5,0.0
Quercus rubra,1,B,2016,0.1,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,20.4,43.74,3.66,26.29,14.71,115.5,0.0
Acer saccharum,3,E,2016,0.095,Med,Quercus alba,Non-Sterile,Heterospecific,AMF,EMF,26.58,,0.04,15.8,12.61,24.5,0.0
Acer saccharum,3,B,2017,0.082,Med,Sterile,Sterile,Sterilized,AMF,Sterile,1.0,,0.36,12.5,13.9,24.5,0.0
Quercus rubra,3,B,2017,0.082,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,14.0,11.9,2.53,25.88,10.96,24.5,0.0
Quercus alba,3,E,2017,0.095,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,15.0,66.67,4.77,26.11,14.49,24.5,0.0
Acer saccharum,3,E,2016,0.095,Med,Sterile,Sterile,Sterilized,AMF,Sterile,4.0,,0.09,11.91,12.4,24.5,0.0
Quercus alba,3,D,2016,0.087,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,20.0,0.0,5.16,23.41,16.57,24.5,0.0
Acer saccharum,1,D,2017,0.107,Med,Sterile,Sterile,Sterilized,AMF,Sterile,7.86,,0.06,12.75,12.25,66.5,1.0
Quercus alba,3,E,2017,0.095,Med,Quercus alba,Non-Sterile,Conspecific,EMF,EMF,8.0,2.7,3.4,24.4,11.83,24.5,0.0
Quercus alba,3,D,2017,0.087,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,14.0,29.17,5.04,21.35,18.15,24.5,0.0
Prunus serotina,3,B,2017,0.082,Med,Sterile,Sterile,Sterilized,AMF,Sterile,6.98,,0.29,7.23,11.54,24.5,0.0
Quercus rubra,3,B,2017,0.082,Med,Sterile,Sterile,Sterilized,EMF,Sterile,1.0,0.0,3.38,22.83,16.41,24.5,0.0
Quercus rubra,1,D,2017,0.107,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,20.34,28.16,3.54,26.47,14.47,73.5,1.0
Quercus rubra,1,D,2016,0.107,Med,Populus grandidentata,Non-Sterile,Heterospecific,EMF,EMF,14.3,29.68,3.69,19.45,19.79,63.0,1.0
Quercus rubra,1,B,2017,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,20.11,24.98,3.52,26.8,14.56,115.5,0.0
Quercus rubra,3,D,2016,0.087,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,15.64,32.29,3.63,25.82,14.81,24.5,1.0
Quercus alba,1,B,2017,0.1,Med,Acer rubrum,Non-Sterile,Heterospecific,EMF,AMF,12.86,22.31,4.67,17.64,23.98,115.5,0.0
Prunus serotina,3,B,2017,0.082,Med,Prunus serotina,Non-Sterile,Conspecific,AMF,AMF,30.68,,0.38,9.31,11.9,24.5,1.0
Quercus rubra,3,D,2017,0.087,Med,Quercus alba,Non-Sterile,Heterospecific,EMF,EMF,25.0,8.16,3.83,20.9,18.1,24.5,0.0
Quercus alba,1,D,2017,0.107,Med,Sterile,Sterile,Sterilized,EMF,Sterile,11.59,11.88,3.73,21.08,17.84,115.5,0.0
Quercus alba,1,E,2016,0.098,Med,Acer saccharum,Non-Sterile,Heterospecific,EMF,AMF,22.03,30.14,5.01,18.79,22.71,115.5,0.0
Acer saccharum,2,A,2017,0.083,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.7,,-0.22,13.7,12.02,63.0,1.0
Prunus serotina,2,A,2017,0.083,Med,Sterile,Sterile,Sterilized,AMF,Sterile,10.01,,0.08,7.38,11.59,59.5,1.0
Quercus alba,2,A,2016,0.083,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,22.69,39.08,5.07,20.06,20.32,70.0,1.0
Quercus rubra,3,D,2017,0.087,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,14.0,7.0,3.42,24.75,14.66,24.5,0.0
Acer saccharum,3,B,2017,0.082,Med,Quercus rubra,Non-Sterile,Heterospecific,AMF,EMF,14.34,,0.04,13.87,12.07,24.5,1.0
Quercus alba,3,D,2017,0.087,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,20.0,38.89,5.34,20.57,19.41,24.5,0.0
Quercus rubra,3,D,2017,0.087,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,18.0,26.67,2.59,27.62,11.09,24.5,0.0
Acer saccharum,2,C,2016,0.097,Med,Sterile,Sterile,Sterilized,AMF,Sterile,6.92,,0.08,12.49,12.31,66.5,1.0
Prunus serotina,3,D,2017,0.087,Med,Sterile,Sterile,Sterilized,AMF,Sterile,21.0,,0.27,10.36,16.74,24.5,0.0
Acer saccharum,3,B,2016,0.082,Med,Prunus serotina,Non-Sterile,Heterospecific,AMF,AMF,15.0,,-0.4,13.33,13.68,24.5,0.0
Quercus rubra,3,D,2017,0.087,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,22.29,27.83,3.35,24.9,14.95,24.5,1.0
Quercus rubra,2,A,2017,0.083,Med,Sterile,Sterile,Sterilized,EMF,Sterile,4.89,3.78,3.39,24.95,14.51,59.5,1.0
Quercus alba,3,D,2017,0.087,Med,Sterile,Sterile,Sterilized,EMF,Sterile,2.0,0.0,3.21,19.19,19.05,24.5,0.0
Quercus alba,3,B,2016,0.082,Med,Prunus serotina,Non-Sterile,Heterospecific,EMF,AMF,16.0,10.0,3.82,18.49,20.93,24.5,0.0
Acer saccharum,3,D,2016,0.087,Med,Populus grandidentata,Non-Sterile,Heterospecific,AMF,EMF,14.72,,-0.08,13.88,12.21,24.5,1.0
Quercus rubra,3,B,2017,0.082,Med,Quercus rubra,Non-Sterile,Conspecific,EMF,EMF,22.0,0.0,2.65,26.05,11.46,24.5,0.0
Quercus alba,3,D,2016,0.087,Med,Quercus rubra,Non-Sterile,Heterospecific,EMF,EMF,12.0,28.57,5.34,20.74,19.02,24.5,0.0
Acer saccharum,3,B,2017,0.082,Med,Acer rubrum,Non-Sterile,Heterospecific,AMF,AMF,19.14,,-0.09,13.75,12.02,24.5,1.0
Acer saccharum,3,D,2016,0.087,Med,Acer saccharum,Non-Sterile,Conspecific,AMF,AMF,16.0,,0.61,13.34,12.58,24.5,0.0
